I, [2019-07-19T11:37:46.870558 #5071]  INFO -- Kitchen: -----> Starting Kitchen (v2.2.5)
E, [2019-07-19T11:37:46.870943 #5071] ERROR -- Kitchen: ------Exception-------
E, [2019-07-19T11:37:46.870968 #5071] ERROR -- Kitchen: Class: Kitchen::UserError
E, [2019-07-19T11:37:46.870980 #5071] ERROR -- Kitchen: Message: Kitchen YAML file /root/raghu/cookbooks/kitchen.yml does not exist.
E, [2019-07-19T11:37:46.870990 #5071] ERROR -- Kitchen: ----------------------
E, [2019-07-19T11:37:46.870999 #5071] ERROR -- Kitchen: ------Backtrace-------
E, [2019-07-19T11:37:46.871007 #5071] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.6.0/gems/test-kitchen-2.2.5/lib/kitchen/loader/yaml.rb:65:in `read'
E, [2019-07-19T11:37:46.871016 #5071] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.6.0/gems/test-kitchen-2.2.5/lib/kitchen/config.rb:152:in `data'
E, [2019-07-19T11:37:46.871024 #5071] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.6.0/gems/test-kitchen-2.2.5/lib/kitchen/config.rb:131:in `suites'
E, [2019-07-19T11:37:46.871032 #5071] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.6.0/gems/test-kitchen-2.2.5/lib/kitchen/config.rb:182:in `filter_instances'
E, [2019-07-19T11:37:46.871040 #5071] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.6.0/gems/test-kitchen-2.2.5/lib/kitchen/config.rb:141:in `build_instances'
E, [2019-07-19T11:37:46.871048 #5071] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.6.0/gems/test-kitchen-2.2.5/lib/kitchen/config.rb:117:in `instances'
E, [2019-07-19T11:37:46.871056 #5071] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.6.0/gems/test-kitchen-2.2.5/lib/kitchen/command.rb:112:in `filtered_instances'
E, [2019-07-19T11:37:46.871068 #5071] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.6.0/gems/test-kitchen-2.2.5/lib/kitchen/command.rb:142:in `parse_subcommand'
E, [2019-07-19T11:37:46.871075 #5071] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.6.0/gems/test-kitchen-2.2.5/lib/kitchen/command/action.rb:35:in `block in call'
E, [2019-07-19T11:37:46.871083 #5071] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/2.6.0/benchmark.rb:293:in `measure'
E, [2019-07-19T11:37:46.871091 #5071] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.6.0/gems/test-kitchen-2.2.5/lib/kitchen/command/action.rb:34:in `call'
E, [2019-07-19T11:37:46.871099 #5071] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.6.0/gems/test-kitchen-2.2.5/lib/kitchen/cli.rb:52:in `perform'
E, [2019-07-19T11:37:46.871110 #5071] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.6.0/gems/test-kitchen-2.2.5/lib/kitchen/cli.rb:193:in `block (2 levels) in <class:CLI>'
E, [2019-07-19T11:37:46.871118 #5071] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.6.0/gems/thor-0.20.3/lib/thor/command.rb:27:in `run'
E, [2019-07-19T11:37:46.871126 #5071] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.6.0/gems/thor-0.20.3/lib/thor/invocation.rb:126:in `invoke_command'
E, [2019-07-19T11:37:46.871135 #5071] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.6.0/gems/thor-0.20.3/lib/thor.rb:387:in `dispatch'
E, [2019-07-19T11:37:46.871147 #5071] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.6.0/gems/thor-0.20.3/lib/thor/base.rb:466:in `start'
E, [2019-07-19T11:37:46.871156 #5071] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.6.0/gems/test-kitchen-2.2.5/bin/kitchen:13:in `block in <top (required)>'
E, [2019-07-19T11:37:46.871164 #5071] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.6.0/gems/test-kitchen-2.2.5/lib/kitchen/errors.rb:171:in `with_friendly_errors'
E, [2019-07-19T11:37:46.871172 #5071] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.6.0/gems/test-kitchen-2.2.5/bin/kitchen:13:in `<top (required)>'
E, [2019-07-19T11:37:46.871181 #5071] ERROR -- Kitchen: /bin/kitchen:349:in `load'
E, [2019-07-19T11:37:46.871189 #5071] ERROR -- Kitchen: /bin/kitchen:349:in `<main>'
E, [2019-07-19T11:37:46.871201 #5071] ERROR -- Kitchen: ----End Backtrace-----
